Country,World Bank Income Group,Region,Koppen Climate Classification of Capital City,Usage,Corruption & Governance Index,Health Spend Index,Education Index,Infrastructure Index,GDP per head,Climate Index,META-DATA E.coli per cent resistance 3rd gen ceph*,META-DATA E.coli per cent resistance FQs*,Average Ecoli Resistance to 3GCeph & FQ unstandardized,Average All Resistance Unstandardized,Logit of META-DATA E.coli per cent resistance 3rd gen ceph*,Logit of META-DATA E.coli per cent resistance FQs*,Logit of Average Ecoli Resistance unstandardized,Logit of Average All Resistance Unstandardized,Missing Usage,Missing: Data Not in ECDC database,Missing META-DATA E.coli 3rd gen ceph*,Missing META-DATA E.coli FQs*,
Kuwait,High income,Middle East & North Africa,Desert (arid),6.3,-0.06,-0.37,0.36,0.93,2.32,-0.13,20.1,60.0,40.03,34.25,-1.38,0.41,-0.40,-0.65,0,1,0,0,
Latvia,High income,Europe & Central Asia,"Snow, fully humid",5.2,0.34,-0.09,0.72,0.50,-0.04,-1.15,15.9,16.8,16.35,19.95,-1.67,-1.60,-1.63,-1.39,0,0,0,0,
Lebanon,Upper middle income,Middle East & North Africa,Desert (arid),9.3,-1.18,-0.42,-0.13,0.60,-0.54,-0.35,27.7,47.0,37.37,25.74,-0.96,-0.12,-0.52,-1.06,0,1,0,0,
Lesotho,Lower middle income,Sub-Saharan Africa,Steppe (semi-arid),,-0.51,1.24,-0.54,-2.00,-1.06,-0.58,2.0,14.0,8.00,20.33,-3.89,-1.82,-2.44,-1.37,1,1,0,0,
Lithuania,High income,Europe & Central Asia,"Snow, fully humid",7.6,-0.21,0.16,0.73,0.45,0.15,-1.09,7.0,12.9,9.95,20.76,-2.59,-1.91,-2.20,-1.34,0,0,0,0,
Luxembourg,High income,Europe & Central Asia,"Mild temperate, fully humid",11.0,1.69,0.50,0.45,0.96,3.52,-0.69,8.2,24.1,16.15,15.67,-2.42,-1.15,-1.65,-1.68,0,0,0,0,
Malaysia,Upper middle income,East Asia & Pacific,Tropical rain forest,4.3,0.02,-0.68,0.18,0.53,0.07,2.06,17.4,23.0,20.21,16.97,-1.56,-1.21,-1.37,-1.59,0,1,0,0,
Malta,High income,Middle East & North Africa,Steppe (semi-arid),,0.72,0.92,0.37,0.87,0.44,-0.23,12.8,32.0,22.40,25.07,-1.92,-0.75,-1.24,-1.10,1,0,0,0,
Mexico,Upper middle income,Latin America & Caribbean,Tropical savannah with dry winter,2.4,-0.80,-0.30,0.14,0.25,-0.37,0.06,42.1,46.3,44.21,40.37,-0.32,-0.15,-0.23,-0.39,0,1,0,0,
Mongolia,Lower middle income,East Asia & Pacific,Snow with dry summer,,-0.17,-0.55,0.55,-0.97,-0.62,-1.92,64.1,64.7,64.38,54.33,0.58,0.61,0.59,0.17,1,1,0,0,
Morocco,Lower middle income,Middle East & North Africa,Steppe (semi-arid),6.0,-0.48,-1.28,-1.57,-0.20,-0.83,-0.55,4.0,23.3,13.66,22.89,-3.18,-1.19,-1.84,-1.21,0,1,0,0,
Myanmar,Lower middle income,East Asia & Pacific,Tropical savannah with dry winter,,-1.35,-1.44,-0.21,-1.33,-0.95,0.54,68.0,55.0,61.50,52.25,0.75,0.20,0.47,0.09,1,1,0,0,
Nepal,Low income,South Asia,Mild temperate with dry winter,,-0.91,-0.89,-1.59,-1.18,-1.09,-0.28,37.9,64.3,51.10,50.17,-0.49,0.59,0.04,0.01,1,1,0,0,
