"","Predictor","Response","Income Group","Model","Estimate","Q2.5","Q97.5","exp(Estimate)","exp(Q2.5)","exp(Q97.5)","Significant"
"149","Oldest Adult","Shannon","LMIC","Reference",0.337,0.055,0.62,1.4,1.056,1.859,"*"
"150","Oldest Adult","Shannon","LMIC","+(1|bioproject)",0.326,0.047,0.594,1.385,1.048,1.812,"*"
"151","Oldest Adult","Shannon","LMIC","+log(readcount)",0.353,0.078,0.623,1.424,1.082,1.864,"*"
"152","Oldest Adult","Shannon","LMIC","+(1|bioproject)+log(readcount)",0.347,0.081,0.622,1.415,1.084,1.863,"*"
"153","Oldest Adult","ARG load","HIC","Reference",-0.097,-0.255,0.061,0.908,0.775,1.063,"ns"
"154","Oldest Adult","ARG load","HIC","+(1|bioproject)",-0.086,-0.251,0.073,0.918,0.778,1.075,"ns"
"155","Oldest Adult","ARG load","HIC","+log(readcount)",-0.123,-0.276,0.033,0.884,0.759,1.034,"ns"
"156","Oldest Adult","ARG load","HIC","+(1|bioproject)+log(readcount)",-0.086,-0.251,0.08,0.918,0.778,1.083,"ns"
"157","Oldest Adult","ARG load","LMIC","Reference",-0.062,-0.466,0.334,0.94,0.627,1.397,"ns"
"158","Oldest Adult","ARG load","LMIC","+(1|bioproject)",-0.033,-0.428,0.371,0.967,0.652,1.449,"ns"
"159","Oldest Adult","ARG load","LMIC","+log(readcount)",-0.088,-0.487,0.306,0.916,0.614,1.358,"ns"
"160","Oldest Adult","ARG load","LMIC","+(1|bioproject)+log(readcount)",-0.067,-0.476,0.336,0.935,0.621,1.399,"ns"
"161","Asia","Shannon","HIC","Reference",0.328,0.076,0.579,1.388,1.079,1.785,"*"
"162","Asia","Shannon","HIC","+(1|bioproject)",0.273,-0.264,0.806,1.313,0.768,2.238,"ns"
"163","Asia","Shannon","HIC","+log(readcount)",0.202,-0.042,0.447,1.224,0.959,1.564,"ns"
"164","Asia","Shannon","HIC","+(1|bioproject)+log(readcount)",0.079,-0.402,0.545,1.082,0.669,1.724,"ns"
"165","Asia","ARG load","HIC","Reference",0.46,0.082,0.851,1.585,1.085,2.341,"*"
"166","Asia","ARG load","HIC","+(1|bioproject)",0.381,-0.49,1.27,1.464,0.613,3.561,"ns"
"167","Asia","ARG load","HIC","+log(readcount)",0.413,0.038,0.793,1.511,1.039,2.21,"*"
"168","Asia","ARG load","HIC","+(1|bioproject)+log(readcount)",0.35,-0.49,1.212,1.42,0.613,3.361,"ns"
"169","Europe","Shannon","LMIC","Reference",-0.425,-0.588,-0.266,0.654,0.555,0.767,"*"
"170","Europe","Shannon","LMIC","+(1|bioproject)",-0.278,-1.005,0.609,0.757,0.366,1.838,"ns"
"171","Europe","Shannon","LMIC","+log(readcount)",-0.555,-0.741,-0.371,0.574,0.477,0.69,"*"
"172","Europe","Shannon","LMIC","+(1|bioproject)+log(readcount)",-0.322,-1.153,0.659,0.724,0.316,1.933,"ns"
"173","Europe","ARG load","LMIC","Reference",0.604,0.369,0.834,1.829,1.446,2.302,"*"
"174","Europe","ARG load","LMIC","+(1|bioproject)",0.181,-1.583,1.707,1.199,0.205,5.511,"ns"
"175","Europe","ARG load","LMIC","+log(readcount)",0.813,0.549,1.09,2.255,1.731,2.976,"*"
"176","Europe","ARG load","LMIC","+(1|bioproject)+log(readcount)",0.24,-1.472,1.748,1.272,0.23,5.744,"ns"
"177","North America","Shannon","HIC","Reference",-0.292,-0.327,-0.256,0.747,0.721,0.774,"*"
"178","North America","Shannon","HIC","+(1|bioproject)",-0.165,-0.323,-0.005,0.848,0.724,0.995,"*"
"179","North America","Shannon","HIC","+log(readcount)",-0.235,-0.271,-0.199,0.791,0.762,0.82,"*"
"180","North America","Shannon","HIC","+(1|bioproject)+log(readcount)",-0.154,-0.308,-0.002,0.857,0.735,0.998,"*"
"181","North America","ARG load","HIC","Reference",-0.18,-0.231,-0.128,0.836,0.794,0.88,"*"
"182","North America","ARG load","HIC","+(1|bioproject)",-0.251,-0.556,0.044,0.778,0.574,1.045,"ns"
"183","North America","ARG load","HIC","+log(readcount)",-0.155,-0.212,-0.099,0.856,0.809,0.906,"*"
"184","North America","ARG load","HIC","+(1|bioproject)+log(readcount)",-0.254,-0.558,0.04,0.776,0.572,1.041,"ns"
"185","Oceania","Shannon","HIC","Reference",-0.138,-0.197,-0.078,0.871,0.821,0.925,"*"
"186","Oceania","Shannon","HIC","+(1|bioproject)",-0.232,-0.501,0.041,0.793,0.606,1.042,"ns"
"187","Oceania","Shannon","HIC","+log(readcount)",-0.169,-0.229,-0.111,0.844,0.796,0.895,"*"
"188","Oceania","Shannon","HIC","+(1|bioproject)+log(readcount)",-0.299,-0.561,-0.043,0.741,0.571,0.958,"*"
"189","Oceania","ARG load","HIC","Reference",-0.449,-0.537,-0.361,0.638,0.585,0.697,"*"
"190","Oceania","ARG load","HIC","+(1|bioproject)",-0.469,-0.975,0.026,0.626,0.377,1.026,"ns"
"191","Oceania","ARG load","HIC","+log(readcount)",-0.462,-0.55,-0.375,0.63,0.577,0.687,"*"
"192","Oceania","ARG load","HIC","+(1|bioproject)+log(readcount)",-0.485,-0.981,0.009,0.616,0.375,1.009,"ns"
"193","South America","Shannon","LMIC","Reference",-0.529,-0.654,-0.403,0.589,0.52,0.668,"*"
"194","South America","Shannon","LMIC","+(1|bioproject)",-0.466,-1.269,0.31,0.628,0.281,1.364,"ns"
"195","South America","Shannon","LMIC","+log(readcount)",-0.429,-0.571,-0.286,0.651,0.565,0.751,"*"
"196","South America","Shannon","LMIC","+(1|bioproject)+log(readcount)",-0.305,-1.216,0.519,0.737,0.296,1.68,"ns"
"197","South America","ARG load","LMIC","Reference",-0.366,-0.544,-0.185,0.694,0.581,0.831,"*"
"198","South America","ARG load","LMIC","+(1|bioproject)",-1.288,-3.011,0.116,0.276,0.049,1.123,"ns"
"199","South America","ARG load","LMIC","+log(readcount)",-0.531,-0.748,-0.318,0.588,0.473,0.727,"*"
"200","South America","ARG load","LMIC","+(1|bioproject)+log(readcount)",-1.398,-3.105,0.093,0.247,0.045,1.097,"ns"
"201",NA,"Shannon","HIC","+log(readcount)",0.092,0.075,0.109,1.096,1.078,1.115,"*"
"202",NA,"Shannon","HIC","+(1|bioproject)+log(readcount)",0.16,0.138,0.182,1.174,1.148,1.2,"*"
"203",NA,"Shannon","LMIC","+log(readcount)",0.125,0.037,0.212,1.134,1.038,1.236,"*"
"204",NA,"Shannon","LMIC","+(1|bioproject)+log(readcount)",0.155,0.057,0.252,1.167,1.058,1.286,"*"
"205",NA,"ARG load","HIC","+log(readcount)",0.039,0.013,0.066,1.04,1.013,1.069,"*"
"206",NA,"ARG load","HIC","+(1|bioproject)+log(readcount)",0.038,0.002,0.074,1.039,1.002,1.077,"*"
"207",NA,"ARG load","LMIC","+log(readcount)",-0.205,-0.336,-0.073,0.815,0.715,0.93,"*"
"208",NA,"ARG load","LMIC","+(1|bioproject)+log(readcount)",-0.235,-0.381,-0.094,0.79,0.683,0.911,"*"
